Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 11.00, 40.00, 1.00, 0.00, 0.00
2,"Node 2", 16.00, 35.00, 1.00, 0.00, 0.00
3,"Node 3", 14.00, 38.00, 0.00, 0.00, 0.00
4,"Node 4", 12.00, 40.00, 0.00, 0.00, 0.00
5,"Node 5", 18.00, 34.00, 0.00, 0.00, 0.00
6,"Node 6", 9.00, 43.00, 0.00, 0.00, 0.00
7,"Node 7", 9.00, 43.00, 0.00, 0.00, 0.00
8,"Node 8", 14.00, 37.00, 1.00, 0.00, 0.00
9,"Node 9", 5.00, 47.00, 0.00, 0.00, 0.00
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00
11,"Node 11", 6.00, 44.00, 2.00, 0.00, 0.00
12,"Node 12", 4.00, 48.00, 0.00, 0.00, 0.00
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00
15,"Node 15", 1.00, 51.00, 0.00, 0.00, 0.00
16,"Node 16", 4.00, 48.00, 0.00, 0.00, 0.00
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00
18,"Node 18", 7.00, 45.00, 0.00, 0.00, 0.00
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00
20,"Node 20", 6.00, 46.00, 0.00, 0.00, 0.00
21,"Node 21", 0.00, 0.00, 0.00, 0.00, 0.00
22,"Node 22", 5.00, 47.00, 0.00, 0.00, 0.00
23,"Node 23", 5.00, 47.00, 0.00, 0.00, 0.00
24,"Node 24", 3.00, 49.00, 0.00, 0.00, 0.00
25,"Node 25", 5.00, 47.00, 0.00, 0.00, 0.00
26,"Node 26", 0.00, 52.00, 0.00, 0.00, 0.00
27,"Node 27", 6.00, 46.00, 0.00, 0.00, 0.00
28,"Node 28", 1.00, 51.00, 0.00, 0.00, 0.00
29,"Node 29", 0.00, 0.00, 0.00, 0.00, 0.00
30,"Node 30", 2.00, 50.00, 0.00, 0.00, 0.00
31,"Node 31", 5.00, 47.00, 0.00, 0.00, 0.00
32,"Node 32", 0.00, 0.00, 0.00, 0.00, 0.00
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00
35,"Node 35", 0.00, 0.00, 0.00, 0.00, 0.00
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00
37,"Node 37", 1.00, 51.00, 0.00, 0.00, 0.00
38,"Node 38", 2.00, 50.00, 0.00, 0.00, 0.00
39,"Node 39", 8.00, 43.00, 1.00, 0.00, 0.00
40,"Node 40", 2.00, 50.00, 0.00, 0.00, 0.00
41,"Node 41", 4.00, 48.00, 0.00, 0.00, 0.00
42,"Node 42", 0.00, 0.00, 0.00, 0.00, 0.00
43,"Node 43", 2.00, 50.00, 0.00, 0.00, 0.00
44,"Node 44", 4.00, 48.00, 0.00, 0.00, 0.00
45,"Node 45", 10.00, 42.00, 0.00, 0.00, 0.00
46,"Node 46", 1.00, 51.00, 0.00, 0.00, 0.00
47,"Node 47", 6.00, 46.00, 0.00, 0.00, 0.00
